time;thread;requestID;mamFileID;inDesignServerInstance;sessionContext;documentLockedlogSeparatoropenFilesFromResponse;status
2013-12-10 02:14:26.403;pool-2-thread-8;!!!!8!!!!;7356;http://localhost:18387->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:14:26.404;pool-2-thread-8;!!!!8!!!!;7356;http://localhost:18387->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:14:26.409;pool-2-thread-8;!!!!8!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:14:27.435;pool-2-thread-9;!!!!9!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:14:27.435;pool-2-thread-9;!!!!9!!!!;7356;http://localhost:18387->[7356];;1;null;GOT_INDS
2013-12-10 02:14:27.443;pool-2-thread-9;!!!!9!!!!;7356;http://localhost:18387->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:14:28.079;pool-2-thread-9;!!!!9!!!!;7356;http://localhost:18387->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:14:28.079;pool-2-thread-9;!!!!9!!!!;7356;http://localhost:18387->[];;1;[];SUCCESS_FROM_INDS
2013-12-10 02:14:28.084;pool-2-thread-9;!!!!9!!!!;7356;null;;1;[];SENT_TO_WEBSERVER
2013-12-10 02:14:30.917;pool-2-thread-10;!!!!10!!!!;7356;null;;;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:14:30.917;pool-2-thread-10;!!!!10!!!!;7356;http://localhost:18385->[7356];;;null;GOT_INDS
2013-12-10 02:14:30.940;pool-2-thread-10;!!!!10!!!!;7356;http://localhost:18385->[7356];;;null;SENDING_TO_INDS
2013-12-10 02:14:34.968;pool-2-thread-10;!!!!10!!!!;7356;http://localhost:18385->[7356];;;null;RECEIVED_FROM_INDS
2013-12-10 02:14:34.968;pool-2-thread-10;!!!!10!!!!;7356;http://localhost:18385->[7356];;;[7356];SUCCESS_FROM_INDS
2013-12-10 02:14:34.973;pool-2-thread-10;!!!!10!!!!;7356;null;;;[7356];SENT_TO_WEBSERVER
2013-12-10 02:14:53.374;pool-2-thread-1;!!!!11!!!!;7356;null;;;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:14:53.374;pool-2-thread-1;!!!!11!!!!;7356;http://localhost:18385->[7356];;;null;GOT_INDS
2013-12-10 02:14:53.379;pool-2-thread-1;!!!!11!!!!;7356;http://localhost:18385->[7356];;;null;SENDING_TO_INDS
2013-12-10 02:14:53.473;pool-2-thread-1;!!!!11!!!!;7356;http://localhost:18385->[7356];;;null;RECEIVED_FROM_INDS
2013-12-10 02:14:53.473;pool-2-thread-1;!!!!11!!!!;7356;http://localhost:18385->[7356];;;[7356];SUCCESS_FROM_INDS
2013-12-10 02:14:53.478;pool-2-thread-1;!!!!11!!!!;7356;null;;;[7356];SENT_TO_WEBSERVER
2013-12-10 02:14:53.548;pool-2-thread-2;!!!!12!!!!;7356;null;;;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:14:53.548;pool-2-thread-2;!!!!12!!!!;7356;http://localhost:18385->[7356];;;null;GOT_INDS
2013-12-10 02:14:53.559;pool-2-thread-2;!!!!12!!!!;7356;http://localhost:18385->[7356];;;null;SENDING_TO_INDS
2013-12-10 02:14:53.605;pool-2-thread-2;!!!!12!!!!;7356;http://localhost:18385->[7356];;;null;RECEIVED_FROM_INDS
2013-12-10 02:14:53.605;pool-2-thread-2;!!!!12!!!!;7356;http://localhost:18385->[7356];;;[7356];SUCCESS_FROM_INDS
2013-12-10 02:14:53.610;pool-2-thread-2;!!!!12!!!!;7356;null;;;[7356];SENT_TO_WEBSERVER
2013-12-10 02:14:53.651;pool-2-thread-3;!!!!13!!!!;7356;null;;;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:14:53.652;pool-2-thread-3;!!!!13!!!!;7356;http://localhost:18385->[7356];;;null;GOT_INDS
2013-12-10 02:14:53.656;pool-2-thread-3;!!!!13!!!!;7356;http://localhost:18385->[7356];;;null;SENDING_TO_INDS
2013-12-10 02:14:53.702;pool-2-thread-3;!!!!13!!!!;7356;http://localhost:18385->[7356];;;null;RECEIVED_FROM_INDS
2013-12-10 02:14:53.703;pool-2-thread-3;!!!!13!!!!;7356;http://localhost:18385->[7356];;;[7356];SUCCESS_FROM_INDS
2013-12-10 02:14:53.707;pool-2-thread-3;!!!!13!!!!;7356;null;;;[7356];SENT_TO_WEBSERVER
2013-12-10 02:14:54.099;pool-2-thread-4;!!!!14!!!!;7356;null;;;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:14:54.099;pool-2-thread-4;!!!!14!!!!;7356;http://localhost:18385->[7356];;;null;GOT_INDS
2013-12-10 02:14:54.105;pool-2-thread-4;!!!!14!!!!;7356;http://localhost:18385->[7356];;;null;SENDING_TO_INDS
2013-12-10 02:15:07.808;pool-2-thread-4;!!!!14!!!!;7356;http://localhost:18385->[7356];;;null;RECEIVED_FROM_INDS
2013-12-10 02:15:07.808;pool-2-thread-4;!!!!14!!!!;7356;http://localhost:18385->[7356];;;[7356];SUCCESS_FROM_INDS
2013-12-10 02:15:07.813;pool-2-thread-4;!!!!14!!!!;7356;null;;;[7356];SENT_TO_WEBSERVER
2013-12-10 02:15:07.852;pool-2-thread-5;!!!!15!!!!;7356;null;;;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:15:07.852;pool-2-thread-5;!!!!15!!!!;7356;http://localhost:18385->[7356];;;null;GOT_INDS
2013-12-10 02:15:07.856;pool-2-thread-5;!!!!15!!!!;7356;http://localhost:18385->[7356];;;null;SENDING_TO_INDS
2013-12-10 02:15:08.249;pool-2-thread-5;!!!!15!!!!;7356;http://localhost:18385->[7356];;;null;RECEIVED_FROM_INDS
2013-12-10 02:15:08.249;pool-2-thread-5;!!!!15!!!!;7356;http://localhost:18385->[7356];;;[7356];SUCCESS_FROM_INDS
2013-12-10 02:15:08.254;pool-2-thread-5;!!!!15!!!!;7356;null;;;[7356];SENT_TO_WEBSERVER
2013-12-10 02:15:17.308;pool-2-thread-6;!!!!16!!!!;7356;null;;;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:15:17.308;pool-2-thread-6;!!!!16!!!!;7356;http://localhost:18385->[7356];;;null;GOT_INDS
2013-12-10 02:15:17.313;pool-2-thread-6;!!!!16!!!!;7356;http://localhost:18385->[7356];;;null;SENDING_TO_INDS
2013-12-10 02:15:17.353;pool-2-thread-6;!!!!16!!!!;7356;http://localhost:18385->[7356];;;null;RECEIVED_FROM_INDS
2013-12-10 02:15:17.353;pool-2-thread-6;!!!!16!!!!;7356;http://localhost:18385->[7356];;;[7356];SUCCESS_FROM_INDS
2013-12-10 02:15:17.358;pool-2-thread-6;!!!!16!!!!;7356;null;;;[7356];SENT_TO_WEBSERVER
2013-12-10 02:15:17.757;pool-2-thread-7;!!!!17!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:15:17.758;pool-2-thread-7;!!!!17!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:15:17.764;pool-2-thread-7;!!!!17!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:15:17.812;pool-2-thread-7;!!!!17!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:15:17.812;pool-2-thread-7;!!!!17!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:15:17.819;pool-2-thread-7;!!!!17!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:15:18.034;pool-2-thread-8;!!!!18!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:15:18.034;pool-2-thread-8;!!!!18!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
