2013-12-10 19:15:19 DEBUG loadBalancerLogger:15 - *************************Starting loadBalancerLogger************************
2013-12-10 19:25:47 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:25:47 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:25:52 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:25:52 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:25:57 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:25:57 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:02 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:02 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:07 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:07 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:12 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:12 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:17 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:17 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:22 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:22 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:27 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:27 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:32 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:32 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:37 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:37 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:42 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:26:42 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
